"","value","lanina","elnino","enso"
"1",1950-01-01,1,0,"La Nina"
"2",1950-01-02,1,0,"La Nina"
"3",1950-01-03,1,0,"La Nina"
"4",1950-01-04,1,0,"La Nina"
"5",1950-01-05,1,0,"La Nina"
"6",1950-01-06,1,0,"La Nina"
"7",1950-01-07,1,0,"La Nina"
"8",1950-01-08,1,0,"La Nina"
"9",1950-01-09,1,0,"La Nina"
"10",1950-01-10,1,0,"La Nina"
"11",1950-01-11,1,0,"La Nina"
"12",1950-01-12,1,0,"La Nina"
"13",1950-01-13,1,0,"La Nina"
"14",1950-01-14,1,0,"La Nina"
"15",1950-01-15,1,0,"La Nina"
"16",1950-01-16,1,0,"La Nina"
"17",1950-01-17,1,0,"La Nina"
"18",1950-01-18,1,0,"La Nina"
"19",1950-01-19,1,0,"La Nina"
"20",1950-01-20,1,0,"La Nina"
"21",1950-01-21,1,0,"La Nina"
"22",1950-01-22,1,0,"La Nina"
"23",1950-01-23,1,0,"La Nina"
"24",1950-01-24,1,0,"La Nina"
"25",1950-01-25,1,0,"La Nina"
"26",1950-01-26,1,0,"La Nina"
"27",1950-01-27,1,0,"La Nina"
"28",1950-01-28,1,0,"La Nina"
"29",1950-01-29,1,0,"La Nina"
"30",1950-01-30,1,0,"La Nina"
"31",1950-01-31,1,0,"La Nina"
"32",1950-02-01,1,0,"La Nina"
"33",1950-02-02,1,0,"La Nina"
"34",1950-02-03,1,0,"La Nina"
"35",1950-02-04,1,0,"La Nina"
"36",1950-02-05,1,0,"La Nina"
"37",1950-02-06,1,0,"La Nina"
"38",1950-02-07,1,0,"La Nina"
"39",1950-02-08,1,0,"La Nina"
"40",1950-02-09,1,0,"La Nina"
"41",1950-02-10,1,0,"La Nina"
"42",1950-02-11,1,0,"La Nina"
"43",1950-02-12,1,0,"La Nina"
"44",1950-02-13,1,0,"La Nina"
"45",1950-02-14,1,0,"La Nina"
"46",1950-02-15,1,0,"La Nina"
"47",1950-02-16,1,0,"La Nina"
"48",1950-02-17,1,0,"La Nina"
"49",1950-02-18,1,0,"La Nina"
"50",1950-02-19,1,0,"La Nina"
"51",1950-02-20,1,0,"La Nina"
"52",1950-02-21,1,0,"La Nina"
"53",1950-02-22,1,0,"La Nina"
"54",1950-02-23,1,0,"La Nina"
"55",1950-02-24,1,0,"La Nina"
"56",1950-02-25,1,0,"La Nina"
"57",1950-02-26,1,0,"La Nina"
"58",1950-02-27,1,0,"La Nina"
"59",1950-02-28,1,0,"La Nina"
"60",1950-03-01,1,0,"La Nina"
"61",1950-03-02,1,0,"La Nina"
"62",1950-03-03,1,0,"La Nina"
"63",1950-03-04,1,0,"La Nina"
"64",1950-03-05,1,0,"La Nina"
"65",1950-03-06,1,0,"La Nina"
"66",1950-03-07,1,0,"La Nina"
"67",1950-03-08,1,0,"La Nina"
"68",1950-03-09,1,0,"La Nina"
"69",1950-03-10,1,0,"La Nina"
"70",1950-03-11,1,0,"La Nina"
"71",1950-03-12,1,0,"La Nina"
"72",1950-03-13,1,0,"La Nina"
"73",1950-03-14,1,0,"La Nina"
"74",1950-03-15,1,0,"La Nina"
"75",1950-03-16,1,0,"La Nina"
"76",1950-03-17,1,0,"La Nina"
"77",1950-03-18,1,0,"La Nina"
"78",1950-03-19,1,0,"La Nina"
"79",1950-03-20,1,0,"La Nina"
"80",1950-03-21,1,0,"La Nina"
"81",1950-03-22,1,0,"La Nina"
"82",1950-03-23,1,0,"La Nina"
"83",1950-03-24,1,0,"La Nina"
"84",1950-03-25,1,0,"La Nina"
"85",1950-03-26,1,0,"La Nina"
"86",1950-03-27,1,0,"La Nina"
"87",1950-03-28,1,0,"La Nina"
"88",1950-03-29,1,0,"La Nina"
"89",1950-03-30,1,0,"La Nina"
"90",1950-03-31,1,0,"La Nina"
"91",1950-04-01,1,0,"La Nina"
"92",1950-04-02,1,0,"La Nina"
"93",1950-04-03,1,0,"La Nina"
"94",1950-04-04,1,0,"La Nina"
"95",1950-04-05,1,0,"La Nina"
"96",1950-04-06,1,0,"La Nina"
"97",1950-04-07,1,0,"La Nina"
"98",1950-04-08,1,0,"La Nina"
"99",1950-04-09,1,0,"La Nina"
"100",1950-04-10,1,0,"La Nina"
"101",1950-04-11,1,0,"La Nina"
"102",1950-04-12,1,0,"La Nina"
"103",1950-04-13,1,0,"La Nina"
"104",1950-04-14,1,0,"La Nina"
"105",1950-04-15,1,0,"La Nina"
"106",1950-04-16,1,0,"La Nina"
"107",1950-04-17,1,0,"La Nina"
"108",1950-04-18,1,0,"La Nina"
"109",1950-04-19,1,0,"La Nina"
"110",1950-04-20,1,0,"La Nina"
"111",1950-04-21,1,0,"La Nina"
"112",1950-04-22,1,0,"La Nina"
"113",1950-04-23,1,0,"La Nina"
"114",1950-04-24,1,0,"La Nina"
"115",1950-04-25,1,0,"La Nina"
"116",1950-04-26,1,0,"La Nina"
"117",1950-04-27,1,0,"La Nina"
"118",1950-04-28,1,0,"La Nina"
"119",1950-04-29,1,0,"La Nina"
"120",1950-04-30,1,0,"La Nina"
"121",1950-05-01,1,0,"La Nina"
"122",1950-05-02,1,0,"La Nina"
"123",1950-05-03,1,0,"La Nina"
"124",1950-05-04,1,0,"La Nina"
"125",1950-05-05,1,0,"La Nina"
"126",1950-05-06,1,0,"La Nina"
"127",1950-05-07,1,0,"La Nina"
